Lower tier local authorities Code,Lower tier local authorities,Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Observation
E09000001,City of London,-8,Does not apply,-8,Does not apply,0
E09000001,City of London,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",96
E09000001,City of London,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",25
E09000001,City of London,-8,Does not apply,3,Mixed or Multiple ethnic groups,112
E09000001,City of London,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",216
E09000001,City of London,-8,Does not apply,5,White: Irish,4
E09000001,City of London,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",87
E09000001,City of London,-8,Does not apply,7,Other ethnic group,41
E09000001,City of London,0,No qualifications,-8,Does not apply,0
E09000001,City of London,0,No qualifications,1,"Asian, Asian British or Asian Welsh",124
E09000001,City of London,0,No qualifications,2,"Black, Black British, Black Welsh, Caribbean or African",31
E09000001,City of London,0,No qualifications,3,Mixed or Multiple ethnic groups,17
E09000001,City of London,0,No qualifications,4,"White: English, Welsh, Scottish, Northern Irish or British",220
E09000001,City of London,0,No qualifications,5,White: Irish,5
E09000001,City of London,0,No qualifications,6,"White: Gypsy or Irish Traveller, Roma or Other White",82
E09000001,City of London,0,No qualifications,7,Other ethnic group,49
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",-8,Does not apply,0
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",1,"Asian, Asian British or Asian Welsh",31
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",2,"Black, Black British, Black Welsh, Caribbean or African",14
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",3,Mixed or Multiple ethnic groups,11
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",4,"White: English, Welsh, Scottish, Northern Irish or British",124
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",5,White: Irish,1
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",6,"White: Gypsy or Irish Traveller, Roma or Other White",18
E09000001,City of London,1,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills",7,Other ethnic group,24
E09000001,City of London,2,"Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma",-8,Does not apply,0
